,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
327,1,1,-1,-1,1,1,-1,-1,0.5,-0.3585842999999999,1
328,-1,-1,1,-1,-1,-1,-1,1,0.375,0.7661222999999999,1
329,-1,-1,-1,-1,1,1,-1,-1,0.75,0.38300889999999993,1
330,-1,1,1,-1,-1,1,1,1,0.625,-0.47010230000000003,1
331,1,1,1,-1,-1,1,-1,-1,0.5,-0.17212490000000008,1
332,1,1,-1,-1,-1,-1,1,1,0.625,0.4984551,1
333,1,1,1,-1,-1,-1,-1,-1,0.75,-0.4764913,1
334,1,1,1,1,1,-1,1,-1,0.5,0.3596181,1
335,1,1,-1,1,-1,-1,-1,1,0.625,0.046464699999999984,1
336,1,1,1,1,-1,1,1,-1,0.625,0.4136295,1
337,1,-1,1,-1,1,1,-1,1,0.625,-0.6054269,1
338,1,1,1,-1,1,-1,-1,1,0.75,-0.2131319000000001,1
339,-1,1,1,1,1,1,-1,-1,0.75,0.9405266999999999,1
340,1,-1,1,1,1,-1,1,1,0.75,0.3364923,1
341,1,1,1,1,1,-1,-1,1,0.75,-0.05317470000000003,1
342,-1,-1,1,1,-1,1,1,-1,0.625,0.10495870000000009,1
343,1,1,-1,-1,-1,-1,-1,1,0.75,0.1160115,1
344,1,1,-1,1,-1,1,-1,1,0.625,-0.02996970000000003,1
345,-1,-1,1,-1,1,-1,1,-1,0.625,0.1980205,1
346,1,1,1,-1,-1,-1,1,1,0.75,0.4591007000000001,1
347,1,1,-1,1,1,1,-1,1,0.625,-0.43737469999999995,1
348,1,1,-1,1,-1,-1,1,-1,0.5,0.1360655,1
349,-1,1,-1,1,-1,-1,-1,-1,0.625,-0.8676083000000002,1
350,-1,1,1,-1,1,1,-1,1,0.5,-0.16040690000000002,1
351,1,-1,1,1,1,-1,1,1,0.75,0.3364923,1
352,1,1,1,-1,-1,1,1,-1,0.625,-0.037209300000000015,1
353,1,-1,-1,-1,-1,-1,-1,1,0.875,0.7235180999999999,1
354,1,1,-1,1,-1,1,-1,1,0.75,-0.02996970000000003,1
355,-1,1,-1,-1,1,-1,-1,-1,0.625,0.00848870000000003,1
356,-1,-1,-1,-1,1,1,1,-1,0.5,0.40347649999999996,1
357,1,1,-1,-1,-1,1,-1,-1,0.625,-0.23029930000000004,1
358,-1,1,-1,1,-1,-1,-1,1,0.625,-0.7406327000000005,1
359,1,1,-1,-1,-1,-1,-1,1,0.75,0.1160115,1
360,1,-1,-1,-1,1,-1,-1,1,0.625,0.045865100000000034,1
361,1,1,1,-1,1,-1,-1,-1,0.75,-0.6046883,1
362,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
363,1,1,-1,1,1,1,-1,1,0.625,-0.43737469999999995,1
364,1,-1,1,-1,-1,1,1,-1,0.625,-0.14410269999999992,1
365,1,1,-1,1,1,-1,1,-1,0.75,0.7095725,1
366,1,1,1,-1,1,1,-1,1,0.625,-0.8116134999999999,1
367,-1,1,-1,1,-1,-1,-1,1,0.75,-0.7406327000000005,1
368,1,1,1,-1,-1,1,-1,1,0.625,-0.07855250000000007,1
369,1,1,-1,1,1,1,-1,1,0.625,-0.43737469999999995,1
370,1,-1,-1,1,1,1,-1,-1,0.75,-0.3140996999999999,1
371,1,-1,-1,1,1,1,1,-1,0.625,0.17619669999999998,1
372,1,1,1,1,-1,-1,1,-1,0.625,-0.027056899999999953,1
373,1,1,-1,-1,1,-1,1,-1,0.875,0.6013417,1
374,1,1,-1,1,1,-1,1,-1,0.375,0.7095725,1
375,1,1,-1,-1,-1,-1,1,1,0.625,0.4984551,1
376,1,1,1,-1,1,-1,1,1,0.625,0.28900770000000003,1
377,-1,1,-1,1,-1,-1,-1,1,0.625,-0.7406327000000005,1
